Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2018-02-02 06:52:52,Running,,3.20,17:16,5:24,11.11,277.0,3,,,2018-02-02-0652.gpx
2018-02-01 07:24:03,Running,,5.43,28:46,5:18,11.32,466.0,1,,,2018-02-01-0724.gpx
2018-01-31 06:01:51,Running,,3.14,16:25,5:14,11.47,255.0,0,,"",2018-01-31-0601.gpx
2018-01-31 05:00:56,Running,,0.28,12:41,44:53,1.34,28.0,0,,,2018-01-31-0500.gpx
2018-01-30 07:37:37,Running,,3.89,19:52,5:07,11.74,334.0,1,,,2018-01-30-0737.gpx
2018-01-29 07:15:03,Running,,4.12,22:17,5:25,11.08,356.0,3,,,2018-01-29-0715.gpx
2018-01-28 08:17:52,Running,,7.59,40:49,5:23,11.16,654.0,4,,,2018-01-28-0817.gpx
2018-01-27 08:01:54,Running,,14.19,1:14:19,5:14,11.45,1232.0,25,,"",2018-01-27-0801.gpx
2018-01-26 07:33:42,Running,,3.03,16:52,5:34,10.77,259.0,0,,,2018-01-26-0733.gpx
2018-01-26 06:29:03,Running,,3.15,16:41,5:18,11.32,267.0,2,,,2018-01-26-0629.gpx
2018-01-25 05:36:16,Running,,2.64,14:32,5:30,10.91,229.0,2,,,2018-01-25-0536.gpx
2018-01-24 06:03:50,Running,,2.96,16:21,5:31,10.87,252.0,0,,,2018-01-24-0603.gpx
2018-01-24 05:03:42,Running,,3.10,15:40,5:04,11.86,269.0,2,,,2018-01-24-0503.gpx
2018-01-23 08:09:58,Running,,5.79,28:58,5:00,12.00,498.0,1,,,2018-01-23-0809.gpx
2018-01-22 07:01:56,Running,,3.30,17:37,5:20,11.24,284.0,0,,,2018-01-22-0701.gpx
2018-01-22 05:37:23,Running,,3.21,17:18,5:24,11.12,276.0,2,,,2018-01-22-0537.gpx
2018-01-21 11:43:00,Running,,3.17,15:50,4:59,12.02,275.0,3,,,2018-01-21-1143.gpx
